Date,Season,Team,Opponent,HomeFlag,GF,GA,Manager,ManagerStart,ManagerEnd,MatchNumMgr,Window1,Window2,Window3,HomeTeam,AwayTeam,MatchID,Points,GoalDifference,Win,Draw,Loss,ManagerPeriod,rows_per_match,CompleteMatchPair
2014-08-16,2014/2015,Arsenal,Crystal Palace,1,2,1,ARSENE WENGER,1996-01-10,2018-05-13,101,0,0,0,Arsenal,Crystal Palace,2014/2015_2014-08-16_Arsenal_Crystal Palace,3,1,1,0,0,Established,2,TRUE
2014-08-23,2014/2015,Arsenal,Everton,0,2,2,ARSENE WENGER,1996-01-10,2018-05-13,102,0,0,0,Everton,Arsenal,2014/2015_2014-08-23_Everton_Arsenal,1,0,0,1,0,Established,2,TRUE
2014-08-31,2014/2015,Arsenal,Leicester City,0,1,1,ARSENE WENGER,1996-01-10,2018-05-13,103,0,0,0,Leicester City,Arsenal,2014/2015_2014-08-31_Leicester City_Arsenal,1,0,0,1,0,Established,2,TRUE
2014-09-13,2014/2015,Arsenal,Manchester City,1,2,2,ARSENE WENGER,1996-01-10,2018-05-13,104,0,0,0,Arsenal,Manchester City,2014/2015_2014-09-13_Arsenal_Manchester City,1,0,0,1,0,Established,2,TRUE
2014-09-20,2014/2015,Arsenal,Aston Villa,0,3,0,ARSENE WENGER,1996-01-10,2018-05-13,105,0,0,0,Aston Villa,Arsenal,2014/2015_2014-09-20_Aston Villa_Arsenal,3,3,1,0,0,Established,2,TRUE
2014-09-27,2014/2015,Arsenal,Tottenham,1,1,1,ARSENE WENGER,1996-01-10,2018-05-13,106,0,0,0,Arsenal,Tottenham,2014/2015_2014-09-27_Arsenal_Tottenham,1,0,0,1,0,Established,2,TRUE
2014-10-05,2014/2015,Arsenal,Chelsea,0,0,2,ARSENE WENGER,1996-01-10,2018-05-13,107,0,0,0,Chelsea,Arsenal,2014/2015_2014-10-05_Chelsea_Arsenal,0,-2,0,0,1,Established,2,TRUE
2014-10-18,2014/2015,Arsenal,Hull City,1,2,2,ARSENE WENGER,1996-01-10,2018-05-13,108,0,0,0,Arsenal,Hull City,2014/2015_2014-10-18_Arsenal_Hull City,1,0,0,1,0,Established,2,TRUE
2014-10-25,2014/2015,Arsenal,Sunderland,0,2,0,ARSENE WENGER,1996-01-10,2018-05-13,109,0,0,0,Sunderland,Arsenal,2014/2015_2014-10-25_Sunderland_Arsenal,3,2,1,0,0,Established,2,TRUE
2014-11-01,2014/2015,Arsenal,Burnley,1,3,0,ARSENE WENGER,1996-01-10,2018-05-13,110,0,0,0,Arsenal,Burnley,2014/2015_2014-11-01_Arsenal_Burnley,3,3,1,0,0,Established,2,TRUE
2014-11-09,2014/2015,Arsenal,Swansea City,0,1,2,ARSENE WENGER,1996-01-10,2018-05-13,111,0,0,0,Swansea City,Arsenal,2014/2015_2014-11-09_Swansea City_Arsenal,0,-1,0,0,1,Established,2,TRUE
2014-11-22,2014/2015,Arsenal,Manchester Utd,1,1,2,ARSENE WENGER,1996-01-10,2018-05-13,112,0,0,0,Arsenal,Manchester Utd,2014/2015_2014-11-22_Arsenal_Manchester Utd,0,-1,0,0,1,Established,2,TRUE
2014-11-29,2014/2015,Arsenal,West Brom,0,1,0,ARSENE WENGER,1996-01-10,2018-05-13,113,0,0,0,West Brom,Arsenal,2014/2015_2014-11-29_West Brom_Arsenal,3,1,1,0,0,Established,2,TRUE
2014-12-03,2014/2015,Arsenal,Southampton,1,1,0,ARSENE WENGER,1996-01-10,2018-05-13,114,0,0,0,Arsenal,Southampton,2014/2015_2014-12-03_Arsenal_Southampton,3,1,1,0,0,Established,2,TRUE
2014-12-06,2014/2015,Arsenal,Stoke City,0,2,3,ARSENE WENGER,1996-01-10,2018-05-13,115,0,0,0,Stoke City,Arsenal,2014/2015_2014-12-06_Stoke City_Arsenal,0,-1,0,0,1,Established,2,TRUE
2014-12-13,2014/2015,Arsenal,Newcastle Utd,1,4,1,ARSENE WENGER,1996-01-10,2018-05-13,116,0,0,0,Arsenal,Newcastle Utd,2014/2015_2014-12-13_Arsenal_Newcastle Utd,3,3,1,0,0,Established,2,TRUE
2014-12-21,2014/2015,Arsenal,Liverpool,0,2,2,ARSENE WENGER,1996-01-10,2018-05-13,117,0,0,0,Liverpool,Arsenal,2014/2015_2014-12-21_Liverpool_Arsenal,1,0,0,1,0,Established,2,TRUE
2014-12-26,2014/2015,Arsenal,QPR,1,2,1,ARSENE WENGER,1996-01-10,2018-05-13,118,0,0,0,Arsenal,QPR,2014/2015_2014-12-26_Arsenal_QPR,3,1,1,0,0,Established,2,TRUE
2014-12-28,2014/2015,Arsenal,West Ham,0,2,1,ARSENE WENGER,1996-01-10,2018-05-13,119,0,0,0,West Ham,Arsenal,2014/2015_2014-12-28_West Ham_Arsenal,3,1,1,0,0,Established,2,TRUE
2015-01-01,2014/2015,Arsenal,Southampton,0,0,2,ARSENE WENGER,1996-01-10,2018-05-13,120,0,0,0,Southampton,Arsenal,2014/2015_2015-01-01_Southampton_Arsenal,0,-2,0,0,1,Established,2,TRUE
2015-01-11,2014/2015,Arsenal,Stoke City,1,3,0,ARSENE WENGER,1996-01-10,2018-05-13,121,0,0,0,Arsenal,Stoke City,2014/2015_2015-01-11_Arsenal_Stoke City,3,3,1,0,0,Established,2,TRUE
2015-01-18,2014/2015,Arsenal,Manchester City,0,2,0,ARSENE WENGER,1996-01-10,2018-05-13,122,0,0,0,Manchester City,Arsenal,2014/2015_2015-01-18_Manchester City_Arsenal,3,2,1,0,0,Established,2,TRUE
2015-02-01,2014/2015,Arsenal,Aston Villa,1,5,0,ARSENE WENGER,1996-01-10,2018-05-13,123,0,0,0,Arsenal,Aston Villa,2014/2015_2015-02-01_Arsenal_Aston Villa,3,5,1,0,0,Established,2,TRUE
2015-02-07,2014/2015,Arsenal,Tottenham,0,1,2,ARSENE WENGER,1996-01-10,2018-05-13,124,0,0,0,Tottenham,Arsenal,2014/2015_2015-02-07_Tottenham_Arsenal,0,-1,0,0,1,Established,2,TRUE
2015-02-10,2014/2015,Arsenal,Leicester City,1,2,1,ARSENE WENGER,1996-01-10,2018-05-13,125,0,0,0,Arsenal,Leicester City,2014/2015_2015-02-10_Arsenal_Leicester City,3,1,1,0,0,Established,2,TRUE
2015-02-21,2014/2015,Arsenal,Crystal Palace,0,2,1,ARSENE WENGER,1996-01-10,2018-05-13,126,0,0,0,Crystal Palace,Arsenal,2014/2015_2015-02-21_Crystal Palace_Arsenal,3,1,1,0,0,Established,2,TRUE
2015-03-01,2014/2015,Arsenal,Everton,1,2,0,ARSENE WENGER,1996-01-10,2018-05-13,127,0,0,0,Arsenal,Everton,2014/2015_2015-03-01_Arsenal_Everton,3,2,1,0,0,Established,2,TRUE
2015-03-04,2014/2015,Arsenal,QPR,0,2,1,ARSENE WENGER,1996-01-10,2018-05-13,128,0,0,0,QPR,Arsenal,2014/2015_2015-03-04_QPR_Arsenal,3,1,1,0,0,Established,1,FALSE
2015-03-14,2014/2015,Arsenal,West Ham,1,3,0,ARSENE WENGER,1996-01-10,2018-05-13,129,0,0,0,Arsenal,West Ham,2014/2015_2015-03-14_Arsenal_West Ham,3,3,1,0,0,Established,2,TRUE
2015-03-21,2014/2015,Arsenal,Newcastle Utd,0,2,1,ARSENE WENGER,1996-01-10,2018-05-13,130,0,0,0,Newcastle Utd,Arsenal,2014/2015_2015-03-21_Newcastle Utd_Arsenal,3,1,1,0,0,Established,2,TRUE
2015-04-04,2014/2015,Arsenal,Liverpool,1,4,1,ARSENE WENGER,1996-01-10,2018-05-13,131,0,0,0,Arsenal,Liverpool,2014/2015_2015-04-04_Arsenal_Liverpool,3,3,1,0,0,Established,2,TRUE
2015-04-11,2014/2015,Arsenal,Burnley,0,1,0,ARSENE WENGER,1996-01-10,2018-05-13,132,0,0,0,Burnley,Arsenal,2014/2015_2015-04-11_Burnley_Arsenal,3,1,1,0,0,Established,2,TRUE
2015-04-26,2014/2015,Arsenal,Chelsea,1,0,0,ARSENE WENGER,1996-01-10,2018-05-13,133,0,0,0,Arsenal,Chelsea,2014/2015_2015-04-26_Arsenal_Chelsea,1,0,0,1,0,Established,2,TRUE
2015-05-04,2014/2015,Arsenal,Hull City,0,3,1,ARSENE WENGER,1996-01-10,2018-05-13,134,0,0,0,Hull City,Arsenal,2014/2015_2015-05-04_Hull City_Arsenal,3,2,1,0,0,Established,2,TRUE
2015-05-11,2014/2015,Arsenal,Swansea City,1,0,1,ARSENE WENGER,1996-01-10,2018-05-13,135,0,0,0,Arsenal,Swansea City,2014/2015_2015-05-11_Arsenal_Swansea City,0,-1,0,0,1,Established,2,TRUE
2015-05-17,2014/2015,Arsenal,Manchester Utd,0,1,1,ARSENE WENGER,1996-01-10,2018-05-13,136,0,0,0,Manchester Utd,Arsenal,2014/2015_2015-05-17_Manchester Utd_Arsenal,1,0,0,1,0,Established,2,TRUE
2015-05-20,2014/2015,Arsenal,Sunderland,1,0,0,ARSENE WENGER,1996-01-10,2018-05-13,137,0,0,0,Arsenal,Sunderland,2014/2015_2015-05-20_Arsenal_Sunderland,1,0,0,1,0,Established,2,TRUE
2015-05-24,2014/2015,Arsenal,West Brom,1,4,1,ARSENE WENGER,1996-01-10,2018-05-13,138,0,0,0,Arsenal,West Brom,2014/2015_2015-05-24_Arsenal_West Brom,3,3,1,0,0,Established,2,TRUE
2015-08-09,2015/2016,Arsenal,West Ham,1,0,2,ARSENE WENGER,1996-01-10,2018-05-13,139,0,0,0,Arsenal,West Ham,2015/2016_2015-08-09_Arsenal_West Ham,0,-2,0,0,1,Established,2,TRUE
2015-08-16,2015/2016,Arsenal,Crystal Palace,0,2,1,ARSENE WENGER,1996-01-10,2018-05-13,140,0,0,0,Crystal Palace,Arsenal,2015/2016_2015-08-16_Crystal Palace_Arsenal,3,1,1,0,0,Established,2,TRUE
2015-08-24,2015/2016,Arsenal,Liverpool,1,0,0,ARSENE WENGER,1996-01-10,2018-05-13,141,0,0,0,Arsenal,Liverpool,2015/2016_2015-08-24_Arsenal_Liverpool,1,0,0,1,0,Established,2,TRUE
2015-08-29,2015/2016,Arsenal,Newcastle Utd,0,1,0,ARSENE WENGER,1996-01-10,2018-05-13,142,0,0,0,Newcastle Utd,Arsenal,2015/2016_2015-08-29_Newcastle Utd_Arsenal,3,1,1,0,0,Established,2,TRUE
2015-09-12,2015/2016,Arsenal,Stoke City,1,2,0,ARSENE WENGER,1996-01-10,2018-05-13,143,0,0,0,Arsenal,Stoke City,2015/2016_2015-09-12_Arsenal_Stoke City,3,2,1,0,0,Established,2,TRUE
2015-09-19,2015/2016,Arsenal,Chelsea,0,0,2,ARSENE WENGER,1996-01-10,2018-05-13,144,0,0,0,Chelsea,Arsenal,2015/2016_2015-09-19_Chelsea_Arsenal,0,-2,0,0,1,Established,2,TRUE
2015-09-26,2015/2016,Arsenal,Leicester City,0,5,2,ARSENE WENGER,1996-01-10,2018-05-13,145,0,0,0,Leicester City,Arsenal,2015/2016_2015-09-26_Leicester City_Arsenal,3,3,1,0,0,Established,2,TRUE
2015-10-04,2015/2016,Arsenal,Manchester Utd,1,3,0,ARSENE WENGER,1996-01-10,2018-05-13,146,0,0,0,Arsenal,Manchester Utd,2015/2016_2015-10-04_Arsenal_Manchester Utd,3,3,1,0,0,Established,2,TRUE
2015-10-17,2015/2016,Arsenal,Watford,0,3,0,ARSENE WENGER,1996-01-10,2018-05-13,147,0,0,0,Watford,Arsenal,2015/2016_2015-10-17_Watford_Arsenal,3,3,1,0,0,Established,2,TRUE
2015-10-24,2015/2016,Arsenal,Everton,1,2,1,ARSENE WENGER,1996-01-10,2018-05-13,148,0,0,0,Arsenal,Everton,2015/2016_2015-10-24_Arsenal_Everton,3,1,1,0,0,Established,2,TRUE
2015-10-31,2015/2016,Arsenal,Swansea City,0,3,0,ARSENE WENGER,1996-01-10,2018-05-13,149,0,0,0,Swansea City,Arsenal,2015/2016_2015-10-31_Swansea City_Arsenal,3,3,1,0,0,Established,2,TRUE
2015-11-08,2015/2016,Arsenal,Tottenham,1,1,1,ARSENE WENGER,1996-01-10,2018-05-13,150,0,0,0,Arsenal,Tottenham,2015/2016_2015-11-08_Arsenal_Tottenham,1,0,0,1,0,Established,2,TRUE
2015-11-21,2015/2016,Arsenal,West Brom,0,1,2,ARSENE WENGER,1996-01-10,2018-05-13,151,0,0,0,West Brom,Arsenal,2015/2016_2015-11-21_West Brom_Arsenal,0,-1,0,0,1,Established,2,TRUE
2015-11-29,2015/2016,Arsenal,Norwich City,0,1,1,ARSENE WENGER,1996-01-10,2018-05-13,152,0,0,0,Norwich City,Arsenal,2015/2016_2015-11-29_Norwich City_Arsenal,1,0,0,1,0,Established,2,TRUE
2015-12-05,2015/2016,Arsenal,Sunderland,1,3,1,ARSENE WENGER,1996-01-10,2018-05-13,153,0,0,0,Arsenal,Sunderland,2015/2016_2015-12-05_Arsenal_Sunderland,3,2,1,0,0,Established,2,TRUE
2015-12-13,2015/2016,Arsenal,Aston Villa,0,2,0,ARSENE WENGER,1996-01-10,2018-05-13,154,0,0,0,Aston Villa,Arsenal,2015/2016_2015-12-13_Aston Villa_Arsenal,3,2,1,0,0,Established,2,TRUE
2015-12-21,2015/2016,Arsenal,Manchester City,1,2,1,ARSENE WENGER,1996-01-10,2018-05-13,155,0,0,0,Arsenal,Manchester City,2015/2016_2015-12-21_Arsenal_Manchester City,3,1,1,0,0,Established,2,TRUE
2015-12-26,2015/2016,Arsenal,Southampton,0,0,4,ARSENE WENGER,1996-01-10,2018-05-13,156,0,0,0,Southampton,Arsenal,2015/2016_2015-12-26_Southampton_Arsenal,0,-4,0,0,1,Established,2,TRUE
2015-12-28,2015/2016,Arsenal,Bournemouth,1,2,0,ARSENE WENGER,1996-01-10,2018-05-13,157,0,0,0,Arsenal,Bournemouth,2015/2016_2015-12-28_Arsenal_Bournemouth,3,2,1,0,0,Established,2,TRUE
2016-01-02,2015/2016,Arsenal,Newcastle Utd,1,1,0,ARSENE WENGER,1996-01-10,2018-05-13,158,0,0,0,Arsenal,Newcastle Utd,2015/2016_2016-01-02_Arsenal_Newcastle Utd,3,1,1,0,0,Established,2,TRUE
2016-01-13,2015/2016,Arsenal,Liverpool,0,3,3,ARSENE WENGER,1996-01-10,2018-05-13,159,0,0,0,Liverpool,Arsenal,2015/2016_2016-01-13_Liverpool_Arsenal,1,0,0,1,0,Established,2,TRUE
2016-01-17,2015/2016,Arsenal,Stoke City,0,0,0,ARSENE WENGER,1996-01-10,2018-05-13,160,0,0,0,Stoke City,Arsenal,2015/2016_2016-01-17_Stoke City_Arsenal,1,0,0,1,0,Established,2,TRUE
2016-01-24,2015/2016,Arsenal,Chelsea,1,0,1,ARSENE WENGER,1996-01-10,2018-05-13,161,0,0,0,Arsenal,Chelsea,2015/2016_2016-01-24_Arsenal_Chelsea,0,-1,0,0,1,Established,2,TRUE
2016-02-02,2015/2016,Arsenal,Southampton,1,0,0,ARSENE WENGER,1996-01-10,2018-05-13,162,0,0,0,Arsenal,Southampton,2015/2016_2016-02-02_Arsenal_Southampton,1,0,0,1,0,Established,2,TRUE
2016-02-07,2015/2016,Arsenal,Bournemouth,0,2,0,ARSENE WENGER,1996-01-10,2018-05-13,163,0,0,0,Bournemouth,Arsenal,2015/2016_2016-02-07_Bournemouth_Arsenal,3,2,1,0,0,Established,2,TRUE
2016-02-14,2015/2016,Arsenal,Leicester City,1,2,1,ARSENE WENGER,1996-01-10,2018-05-13,164,0,0,0,Arsenal,Leicester City,2015/2016_2016-02-14_Arsenal_Leicester City,3,1,1,0,0,Established,2,TRUE
2016-02-28,2015/2016,Arsenal,Manchester Utd,0,2,3,ARSENE WENGER,1996-01-10,2018-05-13,165,0,0,0,Manchester Utd,Arsenal,2015/2016_2016-02-28_Manchester Utd_Arsenal,0,-1,0,0,1,Established,2,TRUE
2016-03-02,2015/2016,Arsenal,Swansea City,1,1,2,ARSENE WENGER,1996-01-10,2018-05-13,166,0,0,0,Arsenal,Swansea City,2015/2016_2016-03-02_Arsenal_Swansea City,0,-1,0,0,1,Established,2,TRUE
2016-03-05,2015/2016,Arsenal,Tottenham,0,2,2,ARSENE WENGER,1996-01-10,2018-05-13,167,0,0,0,Tottenham,Arsenal,2015/2016_2016-03-05_Tottenham_Arsenal,1,0,0,1,0,Established,2,TRUE
2016-03-19,2015/2016,Arsenal,Everton,0,2,0,ARSENE WENGER,1996-01-10,2018-05-13,168,0,0,0,Everton,Arsenal,2015/2016_2016-03-19_Everton_Arsenal,3,2,1,0,0,Established,2,TRUE
2016-04-02,2015/2016,Arsenal,Watford,1,4,0,ARSENE WENGER,1996-01-10,2018-05-13,169,0,0,0,Arsenal,Watford,2015/2016_2016-04-02_Arsenal_Watford,3,4,1,0,0,Established,2,TRUE
2016-04-09,2015/2016,Arsenal,West Ham,0,3,3,ARSENE WENGER,1996-01-10,2018-05-13,170,0,0,0,West Ham,Arsenal,2015/2016_2016-04-09_West Ham_Arsenal,1,0,0,1,0,Established,2,TRUE
2016-04-17,2015/2016,Arsenal,Crystal Palace,1,1,1,ARSENE WENGER,1996-01-10,2018-05-13,171,0,0,0,Arsenal,Crystal Palace,2015/2016_2016-04-17_Arsenal_Crystal Palace,1,0,0,1,0,Established,2,TRUE
2016-04-21,2015/2016,Arsenal,West Brom,1,2,0,ARSENE WENGER,1996-01-10,2018-05-13,172,0,0,0,Arsenal,West Brom,2015/2016_2016-04-21_Arsenal_West Brom,3,2,1,0,0,Established,2,TRUE
2016-04-24,2015/2016,Arsenal,Sunderland,0,0,0,ARSENE WENGER,1996-01-10,2018-05-13,173,0,0,0,Sunderland,Arsenal,2015/2016_2016-04-24_Sunderland_Arsenal,1,0,0,1,0,Established,2,TRUE
2016-04-30,2015/2016,Arsenal,Norwich City,1,1,0,ARSENE WENGER,1996-01-10,2018-05-13,174,0,0,0,Arsenal,Norwich City,2015/2016_2016-04-30_Arsenal_Norwich City,3,1,1,0,0,Established,2,TRUE
2016-05-08,2015/2016,Arsenal,Manchester City,0,2,2,ARSENE WENGER,1996-01-10,2018-05-13,175,0,0,0,Manchester City,Arsenal,2015/2016_2016-05-08_Manchester City_Arsenal,1,0,0,1,0,Established,2,TRUE
2016-05-15,2015/2016,Arsenal,Aston Villa,1,4,0,ARSENE WENGER,1996-01-10,2018-05-13,176,0,0,0,Arsenal,Aston Villa,2015/2016_2016-05-15_Arsenal_Aston Villa,3,4,1,0,0,Established,2,TRUE
2016-08-14,2016/2017,Arsenal,Liverpool,1,3,4,ARSENE WENGER,1996-01-10,2018-05-13,177,0,0,0,Arsenal,Liverpool,2016/2017_2016-08-14_Arsenal_Liverpool,0,-1,0,0,1,Established,2,TRUE
2016-08-20,2016/2017,Arsenal,Leicester City,0,0,0,ARSENE WENGER,1996-01-10,2018-05-13,178,0,0,0,Leicester City,Arsenal,2016/2017_2016-08-20_Leicester City_Arsenal,1,0,0,1,0,Established,2,TRUE
2016-08-27,2016/2017,Arsenal,Watford,0,3,1,ARSENE WENGER,1996-01-10,2018-05-13,179,0,0,0,Watford,Arsenal,2016/2017_2016-08-27_Watford_Arsenal,3,2,1,0,0,Established,2,TRUE
2016-09-10,2016/2017,Arsenal,Southampton,1,2,1,ARSENE WENGER,1996-01-10,2018-05-13,180,0,0,0,Arsenal,Southampton,2016/2017_2016-09-10_Arsenal_Southampton,3,1,1,0,0,Established,2,TRUE
2016-09-17,2016/2017,Arsenal,Hull City,0,4,1,ARSENE WENGER,1996-01-10,2018-05-13,181,0,0,0,Hull City,Arsenal,2016/2017_2016-09-17_Hull City_Arsenal,3,3,1,0,0,Established,2,TRUE
2016-09-24,2016/2017,Arsenal,Chelsea,1,3,0,ARSENE WENGER,1996-01-10,2018-05-13,182,0,0,0,Arsenal,Chelsea,2016/2017_2016-09-24_Arsenal_Chelsea,3,3,1,0,0,Established,2,TRUE
2016-10-02,2016/2017,Arsenal,Burnley,0,1,0,ARSENE WENGER,1996-01-10,2018-05-13,183,0,0,0,Burnley,Arsenal,2016/2017_2016-10-02_Burnley_Arsenal,3,1,1,0,0,Established,2,TRUE
2016-10-15,2016/2017,Arsenal,Swansea City,1,3,2,ARSENE WENGER,1996-01-10,2018-05-13,184,0,0,0,Arsenal,Swansea City,2016/2017_2016-10-15_Arsenal_Swansea City,3,1,1,0,0,Established,2,TRUE
2016-10-22,2016/2017,Arsenal,Middlesbrough,1,0,0,ARSENE WENGER,1996-01-10,2018-05-13,185,0,0,0,Arsenal,Middlesbrough,2016/2017_2016-10-22_Arsenal_Middlesbrough,1,0,0,1,0,Established,1,FALSE
2016-10-29,2016/2017,Arsenal,Sunderland,0,4,1,ARSENE WENGER,1996-01-10,2018-05-13,186,0,0,0,Sunderland,Arsenal,2016/2017_2016-10-29_Sunderland_Arsenal,3,3,1,0,0,Established,2,TRUE
2016-11-06,2016/2017,Arsenal,Tottenham,1,1,1,ARSENE WENGER,1996-01-10,2018-05-13,187,0,0,0,Arsenal,Tottenham,2016/2017_2016-11-06_Arsenal_Tottenham,1,0,0,1,0,Established,2,TRUE
2016-11-19,2016/2017,Arsenal,Manchester Utd,0,1,1,ARSENE WENGER,1996-01-10,2018-05-13,188,0,0,0,Manchester Utd,Arsenal,2016/2017_2016-11-19_Manchester Utd_Arsenal,1,0,0,1,0,Established,2,TRUE
2016-11-27,2016/2017,Arsenal,Bournemouth,1,3,1,ARSENE WENGER,1996-01-10,2018-05-13,189,0,0,0,Arsenal,Bournemouth,2016/2017_2016-11-27_Arsenal_Bournemouth,3,2,1,0,0,Established,2,TRUE
2016-12-03,2016/2017,Arsenal,West Ham,0,5,1,ARSENE WENGER,1996-01-10,2018-05-13,190,0,0,0,West Ham,Arsenal,2016/2017_2016-12-03_West Ham_Arsenal,3,4,1,0,0,Established,2,TRUE
2016-12-10,2016/2017,Arsenal,Stoke City,1,3,1,ARSENE WENGER,1996-01-10,2018-05-13,191,0,0,0,Arsenal,Stoke City,2016/2017_2016-12-10_Arsenal_Stoke City,3,2,1,0,0,Established,2,TRUE
2016-12-13,2016/2017,Arsenal,Everton,0,1,2,ARSENE WENGER,1996-01-10,2018-05-13,192,0,0,0,Everton,Arsenal,2016/2017_2016-12-13_Everton_Arsenal,0,-1,0,0,1,Established,2,TRUE
2016-12-18,2016/2017,Arsenal,Manchester City,0,1,2,ARSENE WENGER,1996-01-10,2018-05-13,193,0,0,0,Manchester City,Arsenal,2016/2017_2016-12-18_Manchester City_Arsenal,0,-1,0,0,1,Established,2,TRUE
2016-12-26,2016/2017,Arsenal,West Brom,1,1,0,ARSENE WENGER,1996-01-10,2018-05-13,194,0,0,0,Arsenal,West Brom,2016/2017_2016-12-26_Arsenal_West Brom,3,1,1,0,0,Established,2,TRUE
2017-01-01,2016/2017,Arsenal,Crystal Palace,1,2,0,ARSENE WENGER,1996-01-10,2018-05-13,195,0,0,0,Arsenal,Crystal Palace,2016/2017_2017-01-01_Arsenal_Crystal Palace,3,2,1,0,0,Established,2,TRUE
2017-01-03,2016/2017,Arsenal,Bournemouth,0,3,3,ARSENE WENGER,1996-01-10,2018-05-13,196,0,0,0,Bournemouth,Arsenal,2016/2017_2017-01-03_Bournemouth_Arsenal,1,0,0,1,0,Established,2,TRUE
2017-01-14,2016/2017,Arsenal,Swansea City,0,4,0,ARSENE WENGER,1996-01-10,2018-05-13,197,0,0,0,Swansea City,Arsenal,2016/2017_2017-01-14_Swansea City_Arsenal,3,4,1,0,0,Established,2,TRUE
2017-01-22,2016/2017,Arsenal,Burnley,1,2,1,ARSENE WENGER,1996-01-10,2018-05-13,198,0,0,0,Arsenal,Burnley,2016/2017_2017-01-22_Arsenal_Burnley,3,1,1,0,0,Established,2,TRUE
2017-01-31,2016/2017,Arsenal,Watford,1,1,2,ARSENE WENGER,1996-01-10,2018-05-13,199,0,0,0,Arsenal,Watford,2016/2017_2017-01-31_Arsenal_Watford,0,-1,0,0,1,Established,2,TRUE
2017-02-04,2016/2017,Arsenal,Chelsea,0,1,3,ARSENE WENGER,1996-01-10,2018-05-13,200,0,0,0,Chelsea,Arsenal,2016/2017_2017-02-04_Chelsea_Arsenal,0,-2,0,0,1,Established,2,TRUE
2017-02-11,2016/2017,Arsenal,Hull City,1,2,0,ARSENE WENGER,1996-01-10,2018-05-13,201,0,0,0,Arsenal,Hull City,2016/2017_2017-02-11_Arsenal_Hull City,3,2,1,0,0,Established,2,TRUE
2017-03-04,2016/2017,Arsenal,Liverpool,0,1,3,ARSENE WENGER,1996-01-10,2018-05-13,202,0,0,0,Liverpool,Arsenal,2016/2017_2017-03-04_Liverpool_Arsenal,0,-2,0,0,1,Established,2,TRUE
2017-03-18,2016/2017,Arsenal,West Brom,0,1,3,ARSENE WENGER,1996-01-10,2018-05-13,203,0,0,0,West Brom,Arsenal,2016/2017_2017-03-18_West Brom_Arsenal,0,-2,0,0,1,Established,2,TRUE
2017-04-02,2016/2017,Arsenal,Manchester City,1,2,2,ARSENE WENGER,1996-01-10,2018-05-13,204,0,0,0,Arsenal,Manchester City,2016/2017_2017-04-02_Arsenal_Manchester City,1,0,0,1,0,Established,2,TRUE
2017-04-05,2016/2017,Arsenal,West Ham,1,3,0,ARSENE WENGER,1996-01-10,2018-05-13,205,0,0,0,Arsenal,West Ham,2016/2017_2017-04-05_Arsenal_West Ham,3,3,1,0,0,Established,2,TRUE
2017-04-10,2016/2017,Arsenal,Crystal Palace,0,0,3,ARSENE WENGER,1996-01-10,2018-05-13,206,0,0,0,Crystal Palace,Arsenal,2016/2017_2017-04-10_Crystal Palace_Arsenal,0,-3,0,0,1,Established,2,TRUE
2017-04-17,2016/2017,Arsenal,Middlesbrough,0,2,1,ARSENE WENGER,1996-01-10,2018-05-13,207,0,0,0,Middlesbrough,Arsenal,2016/2017_2017-04-17_Middlesbrough_Arsenal,3,1,1,0,0,Established,1,FALSE
2017-04-26,2016/2017,Arsenal,Leicester City,1,1,0,ARSENE WENGER,1996-01-10,2018-05-13,208,0,0,0,Arsenal,Leicester City,2016/2017_2017-04-26_Arsenal_Leicester City,3,1,1,0,0,Established,2,TRUE
2017-04-30,2016/2017,Arsenal,Tottenham,0,0,2,ARSENE WENGER,1996-01-10,2018-05-13,209,0,0,0,Tottenham,Arsenal,2016/2017_2017-04-30_Tottenham_Arsenal,0,-2,0,0,1,Established,2,TRUE
2017-05-07,2016/2017,Arsenal,Manchester Utd,1,2,0,ARSENE WENGER,1996-01-10,2018-05-13,210,0,0,0,Arsenal,Manchester Utd,2016/2017_2017-05-07_Arsenal_Manchester Utd,3,2,1,0,0,Established,2,TRUE
2017-05-10,2016/2017,Arsenal,Southampton,0,2,0,ARSENE WENGER,1996-01-10,2018-05-13,211,0,0,0,Southampton,Arsenal,2016/2017_2017-05-10_Southampton_Arsenal,3,2,1,0,0,Established,2,TRUE
2017-05-13,2016/2017,Arsenal,Stoke City,0,4,1,ARSENE WENGER,1996-01-10,2018-05-13,212,0,0,0,Stoke City,Arsenal,2016/2017_2017-05-13_Stoke City_Arsenal,3,3,1,0,0,Established,2,TRUE
