TEAM_KEY,Manager,ManagerStart,ManagerEnd
ARSENAL,UNAI EMERY,2018-05-23,2019-11-29
ARSENAL,FREDDIE LJUNGBERG,2019-11-29,2019-12-19
ARSENAL,MIKEL ARTETA,2019-12-20,2100-01-01
MIDDLESBROUGH,AITOR KARANKA,2013-11-13,2017-03-16
MIDDLESBROUGH,STEVE AGNEW,2017-03-16,2017-05-21
BOURNEMOUTH,EDDIE HOWE,2012-10-14,2020-08-01
QPR,HARRY REDKNAPP,2012-11-24,2015-02-03
QPR,CHRIS RAMSEY,2015-02-03,2015-05-24
ASTON VILLA,DEAN SMITH,2018-10-10,2021-11-07
LIVERPOOL,BRENDAN RODGERS,2012-06-01,2015-10-04
LIVERPOOL,JURGEN KLOPP,2015-10-08,2024-05-19
SWANSEA CITY,GARRY MONK,2014-02-04,2015-12-09
SWANSEA CITY,ALAN CURTIS,2015-12-10,2016-01-18
NORWICH CITY,ALEX NEIL,2015-01-09,2017-03-10
NORWICH CITY,DANIEL FARKE,2017-05-25,2021-11-06
ASTON VILLA,ERIC BLACK,2016-03-30,2016-06-03
CHELSEA,STEVE HOLLAND,2015-12-18,2015-12-20
CHELSEA,THOMAS TUCHEL,2021-01-26,2022-09-07
BRIGHTON,GRAHAM POTTER,2019-05-20,2022-09-07
