Date,Season,Team,Opponent,HomeFlag,GF,GA,Manager,ManagerStart,ManagerEnd,MatchNumMgr,Window1,Window2,Window3
8/16/2014,2014/2015,Arsenal,Crystal Palace,1,2,1,ARSENE WENGER,1/10/1996,5/13/2018,101,0,0,0
8/23/2014,2014/2015,Arsenal,Everton,0,2,2,ARSENE WENGER,1/10/1996,5/13/2018,102,0,0,0
8/31/2014,2014/2015,Arsenal,Leicester City,0,1,1,ARSENE WENGER,1/10/1996,5/13/2018,103,0,0,0
9/13/2014,2014/2015,Arsenal,Manchester City,1,2,2,ARSENE WENGER,1/10/1996,5/13/2018,104,0,0,0
9/20/2014,2014/2015,Arsenal,Aston Villa,0,3,0,ARSENE WENGER,1/10/1996,5/13/2018,105,0,0,0
9/27/2014,2014/2015,Arsenal,Tottenham,1,1,1,ARSENE WENGER,1/10/1996,5/13/2018,106,0,0,0
10/5/2014,2014/2015,Arsenal,Chelsea,0,0,2,ARSENE WENGER,1/10/1996,5/13/2018,107,0,0,0
10/18/2014,2014/2015,Arsenal,Hull City,1,2,2,ARSENE WENGER,1/10/1996,5/13/2018,108,0,0,0
10/25/2014,2014/2015,Arsenal,Sunderland,0,2,0,ARSENE WENGER,1/10/1996,5/13/2018,109,0,0,0
11/1/2014,2014/2015,Arsenal,Burnley,1,3,0,ARSENE WENGER,1/10/1996,5/13/2018,110,0,0,0
11/9/2014,2014/2015,Arsenal,Swansea City,0,1,2,ARSENE WENGER,1/10/1996,5/13/2018,111,0,0,0
11/22/2014,2014/2015,Arsenal,Manchester Utd,1,1,2,ARSENE WENGER,1/10/1996,5/13/2018,112,0,0,0
11/29/2014,2014/2015,Arsenal,West Brom,0,1,0,ARSENE WENGER,1/10/1996,5/13/2018,113,0,0,0
12/3/2014,2014/2015,Arsenal,Southampton,1,1,0,ARSENE WENGER,1/10/1996,5/13/2018,114,0,0,0
12/6/2014,2014/2015,Arsenal,Stoke City,0,2,3,ARSENE WENGER,1/10/1996,5/13/2018,115,0,0,0
12/13/2014,2014/2015,Arsenal,Newcastle Utd,1,4,1,ARSENE WENGER,1/10/1996,5/13/2018,116,0,0,0
12/21/2014,2014/2015,Arsenal,Liverpool,0,2,2,ARSENE WENGER,1/10/1996,5/13/2018,117,0,0,0
12/26/2014,2014/2015,Arsenal,QPR,1,2,1,ARSENE WENGER,1/10/1996,5/13/2018,118,0,0,0
12/28/2014,2014/2015,Arsenal,West Ham,0,2,1,ARSENE WENGER,1/10/1996,5/13/2018,119,0,0,0
1/1/2015,2014/2015,Arsenal,Southampton,0,0,2,ARSENE WENGER,1/10/1996,5/13/2018,120,0,0,0
1/11/2015,2014/2015,Arsenal,Stoke City,1,3,0,ARSENE WENGER,1/10/1996,5/13/2018,121,0,0,0
1/18/2015,2014/2015,Arsenal,Manchester City,0,2,0,ARSENE WENGER,1/10/1996,5/13/2018,122,0,0,0
2/1/2015,2014/2015,Arsenal,Aston Villa,1,5,0,ARSENE WENGER,1/10/1996,5/13/2018,123,0,0,0
2/7/2015,2014/2015,Arsenal,Tottenham,0,1,2,ARSENE WENGER,1/10/1996,5/13/2018,124,0,0,0
2/10/2015,2014/2015,Arsenal,Leicester City,1,2,1,ARSENE WENGER,1/10/1996,5/13/2018,125,0,0,0
2/21/2015,2014/2015,Arsenal,Crystal Palace,0,2,1,ARSENE WENGER,1/10/1996,5/13/2018,126,0,0,0
3/1/2015,2014/2015,Arsenal,Everton,1,2,0,ARSENE WENGER,1/10/1996,5/13/2018,127,0,0,0
3/4/2015,2014/2015,Arsenal,QPR,0,2,1,ARSENE WENGER,1/10/1996,5/13/2018,128,0,0,0
3/14/2015,2014/2015,Arsenal,West Ham,1,3,0,ARSENE WENGER,1/10/1996,5/13/2018,129,0,0,0
3/21/2015,2014/2015,Arsenal,Newcastle Utd,0,2,1,ARSENE WENGER,1/10/1996,5/13/2018,130,0,0,0
4/4/2015,2014/2015,Arsenal,Liverpool,1,4,1,ARSENE WENGER,1/10/1996,5/13/2018,131,0,0,0
4/11/2015,2014/2015,Arsenal,Burnley,0,1,0,ARSENE WENGER,1/10/1996,5/13/2018,132,0,0,0
4/26/2015,2014/2015,Arsenal,Chelsea,1,0,0,ARSENE WENGER,1/10/1996,5/13/2018,133,0,0,0
5/4/2015,2014/2015,Arsenal,Hull City,0,3,1,ARSENE WENGER,1/10/1996,5/13/2018,134,0,0,0
5/11/2015,2014/2015,Arsenal,Swansea City,1,0,1,ARSENE WENGER,1/10/1996,5/13/2018,135,0,0,0
5/17/2015,2014/2015,Arsenal,Manchester Utd,0,1,1,ARSENE WENGER,1/10/1996,5/13/2018,136,0,0,0
5/20/2015,2014/2015,Arsenal,Sunderland,1,0,0,ARSENE WENGER,1/10/1996,5/13/2018,137,0,0,0
5/24/2015,2014/2015,Arsenal,West Brom,1,4,1,ARSENE WENGER,1/10/1996,5/13/2018,138,0,0,0
8/9/2015,2015/2016,Arsenal,West Ham,1,0,2,ARSENE WENGER,1/10/1996,5/13/2018,139,0,0,0
8/16/2015,2015/2016,Arsenal,Crystal Palace,0,2,1,ARSENE WENGER,1/10/1996,5/13/2018,140,0,0,0
8/24/2015,2015/2016,Arsenal,Liverpool,1,0,0,ARSENE WENGER,1/10/1996,5/13/2018,141,0,0,0
8/29/2015,2015/2016,Arsenal,Newcastle Utd,0,1,0,ARSENE WENGER,1/10/1996,5/13/2018,142,0,0,0
9/12/2015,2015/2016,Arsenal,Stoke City,1,2,0,ARSENE WENGER,1/10/1996,5/13/2018,143,0,0,0
9/19/2015,2015/2016,Arsenal,Chelsea,0,0,2,ARSENE WENGER,1/10/1996,5/13/2018,144,0,0,0
9/26/2015,2015/2016,Arsenal,Leicester City,0,5,2,ARSENE WENGER,1/10/1996,5/13/2018,145,0,0,0
10/4/2015,2015/2016,Arsenal,Manchester Utd,1,3,0,ARSENE WENGER,1/10/1996,5/13/2018,146,0,0,0
10/17/2015,2015/2016,Arsenal,Watford,0,3,0,ARSENE WENGER,1/10/1996,5/13/2018,147,0,0,0
