variable,mean,median,sd,q2.5,q97.5,rhat,ess_bulk,ess_tail
b_Intercept,0.15019465085038,0.15026352999999998,0.06067592211861777,0.0329086768,0.2718029655,1.0069415660145518,993.2570910759506,2136.463459724851
b_HomeFlag,0.21353762914375,0.21362330000000002,0.019395673705642005,0.17575414475,0.25135736175,1.0006720160595106,9981.08249808086,5747.403337881036
b_ManagerPeriodMatches1M3,-0.005997943973323826,-0.00588232515,0.04314640528095864,-0.0914665834,0.07822046775,1.000323408029626,9988.546635854858,5814.839208913287
b_ManagerPeriodMatches4M6,-0.05297583882923788,-0.052499305999999996,0.046335308167141036,-0.14432007125,0.03560515972499995,1.0003902651980758,9876.104833224283,5695.659996680721
b_ManagerPeriodMatches7M10,-0.0775890151424465,-0.077604638,0.04244108608224387,-0.16267838425,0.004118524982499915,1.000041928293557,9707.092116105361,6276.965365332562
sd_Opponent__Intercept,0.17831360496,0.176256365,0.02511763560911702,0.135170503,0.2342513162499998,1.0021627641167092,1691.3481446711787,2965.577733877194
sd_Season__Intercept,0.06902679399225,0.065968049,0.021832254960550936,0.03509973515,0.1204994225,0.9999294127378735,2764.1015075144874,3884.763575698581
sd_Team__Intercept,0.2674727019,0.264314205,0.035802761696084096,0.206995214,0.34711566225,1.001297039635429,1347.1380076862376,2489.988476766677
Intercept,0.249138086055375,0.24959459,0.05967782936696174,0.13389684125,0.36803345049999975,1.0069248786307472,969.7158093410296,1987.4906864933341
"r_Opponent[Arsenal,Intercept]",-0.236846933555,-0.236505295,0.05551650413550556,-0.3468453935,-0.12804639425000006,1.0016146416641063,3002.3637294185546,4195.79430601157
"r_Opponent[Aston.Villa,Intercept]",0.027305454985256588,0.0275233175,0.056484096256837445,-0.084859662475,0.13593197024999995,1.0011990379116378,2876.3732422001576,4976.6479269585725
"r_Opponent[Bournemouth,Intercept]",0.15323151208237126,0.153749265,0.05507412029696029,0.04571965972499999,0.26075593275,1.0008258340125133,2847.858420284395,4459.218101889706
"r_Opponent[Brentford,Intercept]",-0.05627498391707,-0.054853360000000004,0.07660873673351659,-0.2110607705,0.08785720339999993,1.0004748361228126,4484.6472321195115,4692.65331996131
"r_Opponent[Brighton,Intercept]",-0.06745871974609575,-0.066973458,0.05844752768873872,-0.18196175774999998,0.04473828329999992,1.0016900391037327,2978.668963880886,4949.2476336697055
"r_Opponent[Burnley,Intercept]",-0.005465240471871727,-0.004759419799999999,0.055163812151762595,-0.113682123,0.10267973074999996,1.0010596961526654,2838.4978401044345,4431.911418002841
"r_Opponent[Cardiff.City,Intercept]",0.12473608471743575,0.12532097,0.10659956894520209,-0.08638018805,0.33316986674999977,1.0001101384372015,6599.105828483566,5761.103464488138
"r_Opponent[Chelsea,Intercept]",-0.236323336788625,-0.23540982,0.05559862449016004,-0.34976011825,-0.12778583500000001,1.0010636265690118,3180.0253885210714,4676.045873609076
"r_Opponent[Crystal.Palace,Intercept]",-0.0353795181757586,-0.034892892,0.051785879818001465,-0.13919348825000002,0.06625870182499996,1.0011138877642014,2304.3771408459625,4473.284464364806
"r_Opponent[Everton,Intercept]",-0.05342092448352837,-0.052164033,0.05146796225845123,-0.15461757475000001,0.045435961624999986,1.0005581504370247,2465.9663974076047,4414.866110649938
