Season,Date,HomeTeam,AwayTeam,present_team,present_side,missing_team,missing_side,present_manager
2014/2015,2015-03-04,QPR,Arsenal,Arsenal,away,QPR,home,ARSENE WENGER
2016/2017,2016-10-22,Arsenal,Middlesbrough,Arsenal,home,Middlesbrough,away,ARSENE WENGER
2016/2017,2017-04-17,Middlesbrough,Arsenal,Arsenal,away,Middlesbrough,home,ARSENE WENGER
2021/2022,2021-09-11,Arsenal,Norwich City,Arsenal,home,Norwich City,away,MIKEL ARTETA
2021/2022,2021-10-22,Arsenal,Aston Villa,Arsenal,home,Aston Villa,away,MIKEL ARTETA
2019/2020,2019-09-22,Arsenal,Aston Villa,Aston Villa,away,Arsenal,home,KEVIN MACDONALD
2019/2020,2020-02-01,Bournemouth,Aston Villa,Aston Villa,away,Bournemouth,home,KEVIN MACDONALD
2014/2015,2015-04-07,Aston Villa,QPR,Aston Villa,home,QPR,away,REMI GARDE
2015/2016,2016-04-09,Aston Villa,Bournemouth,Bournemouth,away,Aston Villa,home,EDDIE HOWE
2016/2017,2016-10-29,Middlesbrough,Bournemouth,Bournemouth,away,Middlesbrough,home,EDDIE HOWE
2016/2017,2017-04-22,Bournemouth,Middlesbrough,Bournemouth,home,Middlesbrough,away,EDDIE HOWE
2018/2019,2018-11-25,Bournemouth,Arsenal,Bournemouth,home,Arsenal,away,EDDIE HOWE
2018/2019,2019-02-27,Arsenal,Bournemouth,Bournemouth,away,Arsenal,home,EDDIE HOWE
2019/2020,2019-10-06,Arsenal,Bournemouth,Bournemouth,away,Arsenal,home,EDDIE HOWE
2021/2022,2021-08-28,Aston Villa,Brentford,Brentford,away,Aston Villa,home,THOMAS FRANK
2021/2022,2021-11-06,Brentford,Norwich City,Brentford,home,Norwich City,away,THOMAS FRANK
2018/2019,2018-12-26,Brighton,Arsenal,Brighton,home,Arsenal,away,CHRIS HUGHTON
2018/2019,2019-05-05,Arsenal,Brighton,Brighton,away,Arsenal,home,CHRIS HUGHTON
2019/2020,2019-12-05,Arsenal,Brighton,Brighton,away,Arsenal,home,GRAHAM POTTER
2019/2020,2020-01-21,Bournemouth,Brighton,Brighton,away,Bournemouth,home,GRAHAM POTTER
2021/2022,2021-10-16,Norwich City,Brighton,Brighton,away,Norwich City,home,GRAHAM POTTER
2016/2017,2016-12-26,Burnley,Middlesbrough,Burnley,home,Middlesbrough,away,SEAN DYCHE
2016/2017,2017-04-08,Middlesbrough,Burnley,Burnley,away,Middlesbrough,home,SEAN DYCHE
2018/2019,2018-12-22,Arsenal,Burnley,Burnley,away,Arsenal,home,SEAN DYCHE
2018/2019,2019-05-12,Burnley,Arsenal,Burnley,home,Arsenal,away,SEAN DYCHE
2019/2020,2019-08-17,Arsenal,Burnley,Burnley,away,Arsenal,home,SEAN DYCHE
2019/2020,2020-02-22,Burnley,Bournemouth,Burnley,home,Bournemouth,away,SEAN DYCHE
2021/2022,2021-10-02,Burnley,Norwich City,Burnley,home,Norwich City,away,SEAN DYCHE
2018/2019,2018-09-02,Cardiff City,Arsenal,Cardiff City,home,Arsenal,away,NEIL WARNOCK
2018/2019,2019-01-29,Arsenal,Cardiff City,Cardiff City,away,Arsenal,home,NEIL WARNOCK
2015/2016,2016-04-02,Aston Villa,Chelsea,Chelsea,away,Aston Villa,home,ANTONIO CONTE
2016/2017,2016-11-20,Middlesbrough,Chelsea,Chelsea,away,Middlesbrough,home,ANTONIO CONTE
2016/2017,2017-05-08,Chelsea,Middlesbrough,Chelsea,home,Middlesbrough,away,ANTONIO CONTE
